month/day	retweet_count	favorite_count	vader compound	vader sentiment
2019-02-09	296600	834089	2.6642	positive
2019-02-10	325298	1263979	-1.2698999999999998	negative
2019-02-11	317528	1156735	0.024199999999999985	positive
2019-02-12	204890	598073	3.3556999999999997	positive
2019-02-13	203343	743443	1.4312	positive
2019-02-14	189126	716757	-2.1044	negative
2019-02-15	82107	266624	0.35600000000000004	positive
2019-02-16	264955	814804	0.7011999999999999	positive
2019-02-17	357092	1113133	-0.8214999999999999	negative
2019-02-18	424064	1599251	3.8307999999999995	positive
2019-02-19	200871	775879	-1.9370000000000003	negative
2019-02-20	278437	1250203	-0.4195999999999999	negative
2019-02-21	213046	847238	3.3792	positive
2019-02-22	139078	520107	1.2027	positive
2019-02-23	293689	758661	4.8102	positive
2019-02-24	274281	1257121	5.6744	positive
2019-02-25	512089	1976865	7.7866	positive
2019-02-26	91602	466570	1.546	positive
2019-02-27	357426	745012	-0.11849999999999988	negative
2019-02-28	104229	474769	2.3114	positive
2019-03-01	229711	1061365	1.4882	positive
2019-03-02	234989	640666	4.002	positive
2019-03-03	295112	1067627	0.6821999999999999	positive
2019-03-04	240436	865514	-2.2075000000000005	negative
2019-03-05	394387	1251104	-0.06170000000000009	negative
2019-03-06	170259	679376	-2.3	negative
2019-03-07	71193	311597	-0.7370000000000001	negative
2019-03-08	451284	1399217	4.6548	positive
2019-03-09	330213	753648	2.7972	positive
2019-03-10	218074	361601	-0.4595	negative
2019-03-11	108642	413362	-0.34010000000000007	negative
2019-03-12	207040	511235	0.05800000000000005	positive
2019-03-13	559613	1586906	-2.0969	negative
2019-03-14	294528	1258911	0.8782999999999997	positive
2019-03-15	263271	1196355	0.31689999999999985	positive
2019-03-16	397947	836921	0.7294	positive
2019-03-17	552878	1523433	-0.4525	negative
2019-03-18	336457	1396367	2.7032	positive
2019-03-19	313828	1157499	3.0915	positive
2019-03-20	267338	1121015	2.5017	positive
2019-03-21	162952	398591	4.1676	positive
2019-03-22	213102	934013	2.2957	positive
2019-03-23	0	0	0.0	neutral
2019-03-24	237175	1216359	2.0404	positive
2019-03-25	494618	824279	4.4296999999999995	positive
2019-03-26	287356	1136740	-0.10489999999999983	negative
2019-03-27	138770	524441	1.3496000000000001	positive
2019-03-28	426434	1826707	0.4743000000000005	positive
2019-03-29	252795	1104538	1.6172	positive
2019-03-30	117950	507479	1.1214	positive
2019-03-31	90370	376843	-0.4668	negative
2019-04-01	316188	1006690	1.7306	positive
2019-04-02	225354	901658	1.939	positive
2019-04-03	94021	395244	2.0866000000000002	positive
2019-04-04	301060	1206677	1.3649	positive
2019-04-05	329363	1238252	4.244400000000001	positive
2019-04-06	330825	1158242	-0.9153000000000001	negative
2019-04-07	175366	649851	1.5669000000000004	positive
2019-04-08	179904	517877	0.7418	positive
2019-04-09	406209	1299736	2.156299999999999	positive
2019-04-10	190602	838094	1.0420000000000003	positive
2019-04-11	206990	681692	3.9554	positive
2019-04-12	440472	1420043	0.6251999999999999	positive
2019-04-13	323092	1020843	-0.3504999999999999	negative
2019-04-14	178457	810488	3.8157000000000005	positive
2019-04-15	421557	1957382	1.9538	positive
2019-04-16	230423	878271	0.07439999999999991	positive
2019-04-17	145547	547106	-0.07650000000000012	negative
2019-04-18	562609	1796917	-0.08339999999999992	negative
2019-04-19	251359	806409	-2.0140999999999996	negative
2019-04-20	356134	1026437	1.3044999999999995	positive
2019-04-21	285901	1295953	-1.0291	negative
2019-04-22	661428	1246837	0.6011	positive
2019-04-23	385428	1699737	4.287500000000001	positive
2019-04-24	350584	1438689	2.2146	positive
2019-04-25	388881	834804	-2.3253999999999997	negative
2019-04-26	239033	883383	4.053	positive
2019-04-27	268102	1224508	3.269199999999999	positive
2019-04-28	28232	70146	-0.6369	negative
2019-04-29	280652	1139801	0.39369999999999994	positive
2019-04-30	210124	817333	3.3713999999999995	positive
2019-05-01	580365	1085477	8.685500000000001	positive
2019-05-02	219175	809594	4.2174	positive
2019-05-03	377394	1218711	0.11160000000000003	positive
2019-05-04	472703	745481	5.961600000000001	positive
2019-05-05	467706	1389301	7.1297	positive
2019-05-06	216999	897227	2.119700000000001	positive
2019-05-07	223942	440915	2.6336	positive
2019-05-08	512469	1831802	5.238899999999998	positive
2019-05-09	167699	384399	3.3554000000000004	positive
2019-05-10	350547	1267968	13.6158	positive
2019-05-11	839547	619026	-4.495299999999999	negative
2019-05-12	469188	1625137	-3.0960000000000005	negative
2019-05-13	392725	1627015	6.3001000000000005	positive
2019-05-14	312748	1303275	9.6498	positive
2019-05-15	143481	477975	4.8882	positive
2019-05-16	156535	390809	0.49900000000000005	positive
2019-05-17	361834	1529639	0.13160000000000005	positive
2019-05-18	344806	646264	3.5211	positive
2019-05-19	354700	1378054	4.3284	positive
2019-05-20	278403	1234240	1.7325999999999993	positive
2019-05-21	280215	1060053	4.1279	positive
2019-05-22	531417	1660399	1.3811000000000004	positive
2019-05-23	528827	1904765	3.3598	positive
2019-05-24	236788	1023470	4.4864	positive
2019-05-25	372786	859644	2.8824	positive
2019-05-26	336010	968475	6.9591	positive
2019-05-27	306388	1119253	2.9452000000000007	positive
2019-05-28	241405	922647	2.2594	positive
2019-05-29	188341	693074	3.1698	positive
2019-05-30	394560	1341029	-2.6611000000000002	negative
2019-05-31	263910	1095565	1.1522999999999999	positive
2019-06-01	272631	798750	12.5268	positive
2019-06-02	334182	1123562	-1.7268	negative
2019-06-03	367096	1262673	3.8815000000000004	positive
2019-06-04	160605	602336	0.1366	positive
2019-06-05	243511	972284	4.578200000000001	positive
2019-06-06	193206	837358	2.4184	positive
2019-06-07	356960	1599359	3.267	positive
2019-06-08	216745	1035164	4.449400000000001	positive
2019-06-09	496551	1047548	0.06790000000000018	positive
2019-06-10	381055	956570	-0.2030999999999994	negative
2019-06-11	264620	1204070	4.321199999999998	positive
2019-06-12	284857	962764	6.280199999999999	positive
2019-06-13	346317	1521313	4.322199999999999	positive
2019-06-14	174959	631387	5.3039	positive
2019-06-15	499514	1267365	2.9205000000000005	positive
2019-06-16	371397	1552255	5.001500000000001	positive
2019-06-17	193161	831085	2.5319	positive
